# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
xing wei 	行为	c=1 d=0.451581 t=632
xiu gai 	修改	c=1 d=0.373439 t=632
xu qiu 	需求	c=1 d=0.790571 t=632
xu yao 	需要	c=1 d=0.66365 t=632
xuan ze 	选择	c=1 d=0.985112 t=632
yao 	要	c=1 d=0.951229 t=632
ye dei 	也得	c=1 d=0.810584 t=632
yi 	以	c=1 d=0.951229 t=632
yi bian 	一遍	c=1 d=0.882497 t=632
yi chu 	移除	c=1 d=0.995012 t=632
yi ge 	一个	c=2 d=1.15138 t=632
yi hui 	一会	c=1 d=0.680451 t=632
yi kan 	一看	c=1 d=0.588605 t=632
yi qi 	一起	c=1 d=0.516851 t=632
yi tai 	一台	c=1 d=0.759572 t=632
ying gai 	应该	c=1 d=0.474734 t=632
ying wen 	英文	c=3 d=1.13895 t=632
ying yao 	硬要	c=1 d=0.66365 t=632
yong 	用	c=1 d=0.752014 t=632
you 	又	c=2 d=1.0326 t=632
you 	有	c=2 d=1.82197 t=632
you bian 	右边	c=2 d=1.81449 t=632
you ge 	有个	c=1 d=0.955997 t=632
you shi 	又是	c=1 d=0.923116 t=632
yu qi 	预期	c=1 d=0.460704 t=632
yuan 	原	c=1 d=0.904837 t=632
yuan yin 	原因	c=1 d=0.937067 t=632
yue le 	约了	c=1 d=0.729789 t=632
yun ban gong 	云办公	c=1 d=0.628135 t=632
zai 	再	c=3 d=1.54162 t=632
zai 	在	c=3 d=1.43835 t=632
zai ne me 	在呢么	c=1 d=0.927743 t=632
zao shang 	早上	c=1 d=0.97531 t=632
zen me 	怎么	c=7 d=3.66529 t=632
zhe 	这	c=4 d=2.18526 t=632
zhe ge 	这个	c=4 d=2.74435 t=632
zhe me 	这么	c=1 d=0.99005 t=632
zhe xie 	这些	c=1 d=0.839457 t=632
zhe zhong 	这种	c=2 d=1.32213 t=632
